budget,seed,model,experiment_name,summary_path,summary_exists,summary_parseable,has_validation_loss,has_test_loss,has_validation_perplexity,has_test_perplexity,has_tokens_per_second,has_peak_memory,has_total_parameters,has_trainable_parameters,has_activated_parameters,has_tokens_per_total_parameter,has_tokens_per_activated_parameter,has_routing_or_expert_metric,has_mtp_metric
50m,4441,v3_routing_220m,main_large_50m_seed4441_03_v3_routing_220m,results/metrics/main_large_50m_seed4441_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,5501,dense_121m,main_large_50m_seed5501_00_dense_121m,results/metrics/main_large_50m_seed5501_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,5501,mla_121m,main_large_50m_seed5501_01_mla_121m,results/metrics/main_large_50m_seed5501_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,5501,mtp_121m,main_large_50m_seed5501_01_mtp_121m,results/metrics/main_large_50m_seed5501_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,5501,moe_220m,main_large_50m_seed5501_02_moe_220m,results/metrics/main_large_50m_seed5501_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,5501,mla_moe_220m,main_large_50m_seed5501_04_mla_moe_220m,results/metrics/main_large_50m_seed5501_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,5501,v3_routing_220m,main_large_50m_seed5501_03_v3_routing_220m,results/metrics/main_large_50m_seed5501_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,6173,dense_121m,main_large_50m_seed6173_00_dense_121m,results/metrics/main_large_50m_seed6173_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,6173,mla_121m,main_large_50m_seed6173_01_mla_121m,results/metrics/main_large_50m_seed6173_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,6173,mtp_121m,main_large_50m_seed6173_01_mtp_121m,results/metrics/main_large_50m_seed6173_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,6173,moe_220m,main_large_50m_seed6173_02_moe_220m,results/metrics/main_large_50m_seed6173_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,6173,mla_moe_220m,main_large_50m_seed6173_04_mla_moe_220m,results/metrics/main_large_50m_seed6173_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,6173,v3_routing_220m,main_large_50m_seed6173_03_v3_routing_220m,results/metrics/main_large_50m_seed6173_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,8191,dense_121m,main_large_50m_seed8191_00_dense_121m,results/metrics/main_large_50m_seed8191_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,8191,mla_121m,main_large_50m_seed8191_01_mla_121m,results/metrics/main_large_50m_seed8191_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,8191,mtp_121m,main_large_50m_seed8191_01_mtp_121m,results/metrics/main_large_50m_seed8191_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,8191,moe_220m,main_large_50m_seed8191_02_moe_220m,results/metrics/main_large_50m_seed8191_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,8191,mla_moe_220m,main_large_50m_seed8191_04_mla_moe_220m,results/metrics/main_large_50m_seed8191_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,8191,v3_routing_220m,main_large_50m_seed8191_03_v3_routing_220m,results/metrics/main_large_50m_seed8191_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,10007,dense_121m,main_large_50m_seed10007_00_dense_121m,results/metrics/main_large_50m_seed10007_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,10007,mla_121m,main_large_50m_seed10007_01_mla_121m,results/metrics/main_large_50m_seed10007_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,10007,mtp_121m,main_large_50m_seed10007_01_mtp_121m,results/metrics/main_large_50m_seed10007_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,10007,moe_220m,main_large_50m_seed10007_02_moe_220m,results/metrics/main_large_50m_seed10007_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,10007,mla_moe_220m,main_large_50m_seed10007_04_mla_moe_220m,results/metrics/main_large_50m_seed10007_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,10007,v3_routing_220m,main_large_50m_seed10007_03_v3_routing_220m,results/metrics/main_large_50m_seed10007_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,11213,dense_121m,main_large_50m_seed11213_00_dense_121m,results/metrics/main_large_50m_seed11213_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,11213,mla_121m,main_large_50m_seed11213_01_mla_121m,results/metrics/main_large_50m_seed11213_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,11213,mtp_121m,main_large_50m_seed11213_01_mtp_121m,results/metrics/main_large_50m_seed11213_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,11213,moe_220m,main_large_50m_seed11213_02_moe_220m,results/metrics/main_large_50m_seed11213_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,11213,mla_moe_220m,main_large_50m_seed11213_04_mla_moe_220m,results/metrics/main_large_50m_seed11213_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,11213,v3_routing_220m,main_large_50m_seed11213_03_v3_routing_220m,results/metrics/main_large_50m_seed11213_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,12721,dense_121m,main_large_50m_seed12721_00_dense_121m,results/metrics/main_large_50m_seed12721_00_dense_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,12721,mla_121m,main_large_50m_seed12721_01_mla_121m,results/metrics/main_large_50m_seed12721_01_mla_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,12721,mtp_121m,main_large_50m_seed12721_01_mtp_121m,results/metrics/main_large_50m_seed12721_01_mtp_121m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,12721,moe_220m,main_large_50m_seed12721_02_moe_220m,results/metrics/main_large_50m_seed12721_02_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,12721,mla_moe_220m,main_large_50m_seed12721_04_mla_moe_220m,results/metrics/main_large_50m_seed12721_04_mla_moe_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50m,12721,v3_routing_220m,main_large_50m_seed12721_03_v3_routing_220m,results/metrics/main_large_50m_seed12721_03_v3_routing_220m/summary.json,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
